Customer_ID,Month,Electricity_Consumption_kWh,Previous_Month_Consumption,Peak_Consumption,Off_Peak_Consumption,Voltage,Current,Power_Factor,Meter_Age,Number_of_Meter_Readings,Location_Type,Customer_Type,Theft_Flag_GroundTruth,Average_Consumption_3_Months,Average_Consumption_6_Months,Consumption_Change_Pct,Consumption_Deviation,MoM_Change_Pct,Peak_OffPeak_Ratio,Consumption_Variability,Reading_Completeness_Ratio,Data_Split,Anomaly_Score,IsolationForest_Prediction,OneClassSVM_Prediction,RandomForest_Prediction,Baseline_Prediction,Risk_Level,Flag_Reasons
C00001,1,221.44,221.44,124.29,97.15,231.96,1.502,0.883,6,30,Rural,Residential,0,,,0.0,0.0,0.0,1.2793618116314978,0.0,1.0,Train,0.06502615824805924,1,1,0,0,Normal,Minor deviation from typical consumption pattern
C00001,2,250.95,221.44,186.9,64.05,227.34,1.675,0.915,6,29,Rural,Residential,0,221.44,221.44,13.32640895953757,29.50999999999999,13.32640895953757,2.918032786885246,0.0,0.9666666666666667,Train,0.10123788849394805,1,1,0,0,Normal,Minor deviation from typical consumption pattern
C00001,3,273.65,250.95,176.05,97.6,230.71,1.793,0.919,6,30,Rural,Residential,0,236.195,236.195,15.85765998433497,37.454999999999984,9.045626618848372,1.8037909836065575,0.08834531261379373,1.0,Train,0.047500190856004196,1,1,0,0,Normal,Minor deviation from typical consumption pattern
C00001,4,373.63,273.65,206.69,166.94,219.87,2.446,0.965,6,29,Rural,Residential,0,248.68,248.68,50.24529515843654,124.94999999999999,36.53572081125526,1.2381095004193123,0.10527150188958784,0.9666666666666667,Train,0.2821499904659808,1,1,0,1,Normal,Large deviation from 6-month historical average
C00001,5,312.65,373.63,182.8,129.85,235.65,1.971,0.935,6,29,Rural,Residential,0,299.41,279.9175,4.42202999231821,32.73249999999996,-16.320959237748582,1.4077782056218715,0.21799810039929796,0.9666666666666667,Test,0.20204043371503852,1,1,0,0,Normal,Minor deviation from typical consumption pattern
C00001,6,320.63,312.65,212.75,107.88,223.11,2.203,0.906,6,28,Rural,Residential,0,319.97666666666663,286.464,0.20418155490505488,34.166,2.552374860067174,1.9720986281053023,0.15748358305465016,0.9333333333333333,Test,0.18103271138002847,1,1,0,0,Normal,Minor deviation from typical consumption pattern
C00002,1,624.94,624.94,447.3,177.64,222.61,4.375,0.891,3,29,Urban,Commercial,0,,,0.0,0.0,0.0,2.5180139608196357,0.0,0.9666666666666667,Train,0.15509141725490194,1,1,0,0,Normal,Minor deviation from typical consumption pattern
C00002,2,564.17,624.94,318.71,245.47,231.62,3.74,0.905,3,30,Urban,Commercial,0,624.94,624.94,-9.724133516817629,60.770000000000095,-9.724133516817629,1.298366399152646,0.0,1.0,Train,0.12561519967614634,1,1,0,0,Normal,Minor deviation from typical consumption pattern
C00002,3,725.74,564.17,511.1,214.63,235.15,4.478,0.957,3,28,Urban,Commercial,0,594.5550000000001,594.5550000000001,22.06440110671005,131.18499999999995,28.638530939255908,2.381307366165028,0.07227401853942293,0.9333333333333333,Train,0.2679155899965259,1,1,0,0,Normal,Minor deviation from typical consumption pattern
C00002,4,773.86,725.74,476.84,297.02,231.66,4.838,0.959,3,28,Urban,Commercial,0,638.2833333333333,638.2833333333333,21.240828263310448,135.5766666666667,6.630473723372007,1.6054137768500438,0.12785433181874978,0.9333333333333333,Train,0.23842172948751048,1,1,0,0,Normal,Minor deviation from typical consumption pattern
C00002,5,708.91,773.86,515.69,193.22,234.06,4.318,0.974,3,29,Urban,Commercial,0,687.9233333333333,672.1775,3.0507275520043438,36.73249999999996,-8.392990980280675,2.6689266121519513,0.1596704351616053,0.9666666666666667,Test,0.2538344002646028,1,1,0,0,Normal,Minor deviation from typical consumption pattern
